,corpus,embedding,DR,layout-quality-measure,value
383,7Categories,lsi-SC,umap,perception,0.67
384,7Categories,lsi-tfidf,mds,accloc,0
385,7Categories,lsi-tfidf,mds,accglo,0
386,7Categories,lsi-tfidf,mds,perception,0
387,7Categories,lsi-tfidf,som,accloc,0.97
388,7Categories,lsi-tfidf,som,accglo,0.77
389,7Categories,lsi-tfidf,som,perception,0.65
390,7Categories,lsi-tfidf,tsne,accloc,0.99
391,7Categories,lsi-tfidf,tsne,accglo,0.82
392,7Categories,lsi-tfidf,tsne,perception,0.67
393,7Categories,lsi-tfidf,umap,accloc,0.97
394,7Categories,lsi-tfidf,umap,accglo,0.83
395,7Categories,lsi-tfidf,umap,perception,0.69
396,7Categories,lsi-tfidf-SC,mds,accloc,0
397,7Categories,lsi-tfidf-SC,mds,accglo,0
398,7Categories,lsi-tfidf-SC,mds,perception,0
399,7Categories,lsi-tfidf-SC,som,accloc,0.97
400,7Categories,lsi-tfidf-SC,som,accglo,0.78
401,7Categories,lsi-tfidf-SC,som,perception,0.66
402,7Categories,lsi-tfidf-SC,tsne,accloc,0.99
403,7Categories,lsi-tfidf-SC,tsne,accglo,0.82
404,7Categories,lsi-tfidf-SC,tsne,perception,0.66
405,7Categories,lsi-tfidf-SC,umap,accloc,0.97
406,7Categories,lsi-tfidf-SC,umap,accglo,0.83
407,7Categories,lsi-tfidf-SC,umap,perception,0.69
408,7Categories,nmf,mds,accloc,0
409,7Categories,nmf,mds,accglo,0
410,7Categories,nmf,mds,perception,0
411,7Categories,nmf,som,accloc,0.98
412,7Categories,nmf,som,accglo,0.76
413,7Categories,nmf,som,perception,0.56
414,7Categories,nmf,tsne,accloc,0.99
415,7Categories,nmf,tsne,accglo,0.8
416,7Categories,nmf,tsne,perception,0.62
417,7Categories,nmf,umap,accloc,0.98
418,7Categories,nmf,umap,accglo,0.83
419,7Categories,nmf,umap,perception,0.62
420,7Categories,nmf-SC,mds,accloc,0
421,7Categories,nmf-SC,mds,accglo,0
422,7Categories,nmf-SC,mds,perception,0
423,7Categories,nmf-SC,som,accloc,0.97
424,7Categories,nmf-SC,som,accglo,0.83
425,7Categories,nmf-SC,som,perception,0.58
426,7Categories,nmf-SC,tsne,accloc,0.99
427,7Categories,nmf-SC,tsne,accglo,0.89
428,7Categories,nmf-SC,tsne,perception,0.62
429,7Categories,nmf-SC,umap,accloc,0.99
430,7Categories,nmf-SC,umap,accglo,0.91
431,7Categories,nmf-SC,umap,perception,0.61
